"Time" , "CCT(K)", "Duv"   , "Rf"  , "Rg"   , "DER_mel"
"05:30", "5345"  , "0.0026", "93.8", "101.5", "0.0117"
"06:30", "5321"  , "0.0027", "93.6", "101.6", "0.0115"
"07:30", "5297"  , "0.0027", "93.5", "101.7", "0.0113"
"08:30", "5272"  , "0.0028", "93.3", "101.7", "0.0112"
"09:30", "5382"  , "0.0024", "94.1", "101.3", "0.0120"
"10:30", "5484"  , "0.0021", "94.7", "101.0", "0.0128"
"11:30", "5579"  , "0.0018", "95.2", "100.7", "0.0136"
"12:30", "5668"  , "0.0015", "95.7", "100.4", "0.0144"
"13:30", "5585"  , "0.0017", "95.3", "100.6", "0.0136"
"14:30", "5496"  , "0.0019", "94.7", "100.9", "0.0128"
"15:30", "5400"  , "0.0021", "94.2", "101.1", "0.0119"
"16:30", "5296"  , "0.0023", "93.5", "101.4", "0.0111"
"17:30", "5155"  , "0.0020", "92.8", "101.6", "0.0078"
"18:30", "4836"  , "0.0012", "97.8", "101.6", "0.0044"
"19:30", "3472"  , "0.0011", "95.3", "103.4", "0.0010"
